"network","model","NODF","wine","binmatnest.temperature","links","totalweight"
"M_PL_007_GC.csv","BVAZ",18.4119047619048,41.3841328503423,17.5236017391539,84,84
"M_PL_007_GC.csv","BSHUFFLE",19.8880643166357,60.3027181084327,9.42453968090683,84,84
"M_PL_007_GC.csv","PATEFIELD",42.7105501849863,94.7017579307021,5.61146436719231,95,979
"M_PL_007_GC.csv","RND",6.07448979591837,-2.65167850992366,38.5362612255974,84,84
"M_PL_007_GC.csv","MGEN",38.001443001443,94.5261034174448,6.77474586685704,105,979
"M_PL_007_GC.csv","SHUFFLE",9.17891156462585,-2.55012131199339,40.4614828741765,84,979
"M_PL_007_GC.csv","VAZ",37.3646125116713,93.2936152848476,5.96304864415188,84,979
"M_PL_007_GC.csv","SYTR",44.0344671201814,84.5421329649497,2.25698358346628,84,260
"M_PL_007_GC.csv","SWAP",40.0156926406926,87.3399494146576,6.77808220054433,84,979
"M_PL_007_GC.csv","WRND",7.32687074829932,-3.7620544288039,38.8884102092783,84,979
"M_PL_007_GC.csv","BVAZ",13.3787414965986,26.716359523121,25.4831209688035,84,84
"M_PL_007_GC.csv","BSHUFFLE",19.4741496598639,57.8093142334543,12.1491758908022,84,84
"M_PL_007_GC.csv","PATEFIELD",47.5535714285714,95.699240304013,5.51608336689266,97,979
"M_PL_007_GC.csv","RND",9.2687074829932,-2.88366168901965,32.1502530272655,84,84
"M_PL_007_GC.csv","MGEN",41.8649659863946,97.2084209036261,6.00910830063158,104,979
"M_PL_007_GC.csv","SHUFFLE",6.9,-2.28742785745798,43.0256346422554,84,979
"M_PL_007_GC.csv","VAZ",32.2366946778711,89.8867780709439,7.17757343276461,84,979
"M_PL_007_GC.csv","SYTR",41.7538502850533,74.917154643718,3.05729073881507,84,175
"M_PL_007_GC.csv","SWAP",29.2103174603175,82.6907782484782,9.23541192323806,84,979
"M_PL_007_GC.csv","WRND",7.25714285714286,5.06811630443324,29.3511337443195,84,979
"M_PL_007_GC.csv","BVAZ",14.2975274725275,39.2452492441755,17.2225229547053,84,84
"M_PL_007_GC.csv","BSHUFFLE",21.8647495361781,47.900576075065,10.6402429615325,84,84
"M_PL_007_GC.csv","PATEFIELD",43.1099415204678,95.3615723747197,6.83391953333158,98,979
"M_PL_007_GC.csv","RND",6.87857142857143,-8.26690268204898,36.0393658069898,84,84
"M_PL_007_GC.csv","MGEN",38.0906142167012,94.53559822666,7.72752944323438,117,979
